19.061  13.965   4.228  O  
10.403  13.842   4.351  O  
 1.308  11.258   9.089 Si  
 0.078   8.717  12.207  O  
22.421  12.996  10.292  O  
22.544   4.338  10.415  O  
 3.039  12.999  10.821 Si  
24.179  15.541  12.050  O  
 1.836  11.261  13.965  O  
 1.713  19.919  13.842  O  
15.168   5.194  19.501 Si  
12.050   2.652  18.272  O  
13.965   6.932  16.357  O  
13.842  22.532  16.480  O  
 6.935   9.104   1.308 Si  
 9.476   5.986   0.078  O  
 5.197   7.901  22.421  O  
13.855   7.778  22.544  O  
 3.025   0.871   7.372 Si  
23.387  21.218   1.308 Si  
 3.025  17.323  10.821 Si  
 6.935   9.089  16.885 Si  
 9.476  12.207  18.115  O  
 5.197  10.292  20.030  O  
13.855  10.415  19.907  O  
11.258  21.233   4.756 Si  
 8.717  18.115   5.986  O  
12.996  20.030   7.901  O  
 4.338  19.907   7.778  O  
 1.308   9.089  11.258 Si  
 0.000  14.706   9.552  O  
 3.039   7.372   5.194 Si  
21.681   6.064   3.488  O  
 4.756   9.104  23.387 Si  
 6.064   3.488  21.681  O  
 5.986   5.986  20.846  O  
 7.901   7.901   0.868  O  
 7.778   7.778  16.467  O  
 3.025  10.821  17.323 Si  
 8.641  12.129  15.616  O  
 6.143  12.050  14.781  O  
 4.228  13.965  19.061  O  
 4.351  13.842  10.403  O  
 1.308   9.104   6.935 Si  
 0.000   3.488   8.641  O  
 3.025   7.372   0.871 Si  
 8.641   6.064   2.577  O  
 6.143   6.143   3.412  O  
 4.228   4.228  23.390  O  
 4.351   4.351   7.790  O  
 4.756   9.089  19.064 Si  
 6.064  14.706  20.770  O  
 5.986  12.207  21.605  O  
 7.901  10.292  17.326  O  
 7.778  10.415   1.726  O  
 3.039  10.821  12.999 Si  
21.681  12.129  14.706  O  
23.387  13.437   9.089 Si  
22.950   5.194   3.025 Si  
24.179   2.652   6.143  O  
 1.836   6.932   4.228  O  
 1.713  22.532   4.351  O  
 6.935   4.756  21.218 Si  
 7.372  12.999  15.154 Si  
23.387   4.756   9.104 Si  
20.846   5.986   5.986  O  
 0.868   7.901   7.901  O  
16.467   7.778   7.778  O  
 7.372   5.194   3.039 Si  
 6.935  13.437  21.233 Si  
22.950  12.999  15.168 Si  
21.218  11.258  13.437 Si  
 9.089  19.064   4.756 Si  
12.207  21.605   5.986  O  
10.292  17.326   7.901  O  
10.415   1.726   7.778  O  
17.323  15.154  22.950 Si  
21.233  23.387  16.885 Si  
 0.871   3.039  22.950 Si  
21.233   6.935  13.437 Si  
17.323  15.168   7.372 Si  
12.999   3.025  19.501 Si  
15.541   6.143  18.272  O  
11.261   4.228  16.357  O  
19.919   4.351  16.480  O  
10.821   3.039  12.999 Si  
12.129  21.681  14.706  O  
12.050  24.179  15.541  O  
